place,grav,sexe,trajet,secu1,secu2,lum,agg,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,senc,catv,obs,obsm,choc,manv,motor,Hour,DayOfWeek,Month,Age
1,1,1,4,1,4,1,1,9,1,3,48.422836,1.960191,9,2,2,0,1,1,1,0,1,80,3,7,0,2,3,1,1,6,1,6,78.0
1,4,1,5,2,-1,1,2,3,1,3,48.974606,2.38801,4,2,2,0,1,1,1,0,1,50,3,2,0,0,8,21,1,16,6,10,34.0
1,1,2,5,1,-1,1,2,3,1,3,48.974606,2.38801,4,2,2,0,1,1,1,0,1,50,3,7,0,0,2,26,1,16,6,10,26.0
1,1,1,0,8,0,1,2,9,8,3,48.67625,2.41169,4,2,2,0,1,1,1,0,1,50,3,7,0,2,2,9,0,15,5,11,34.0
1,4,1,0,2,0,1,2,9,8,3,48.67625,2.41169,4,2,2,0,1,1,1,0,1,50,1,2,0,2,3,1,1,15,5,11,18.0
1,4,1,0,2,8,5,2,3,2,3,48.9476,2.18814,4,2,2,0,1,1,2,9,1,50,3,30,0,2,1,1,1,0,5,10,15.0
1,1,1,0,1,8,5,2,3,2,3,48.9476,2.18814,4,2,2,0,1,1,2,9,1,50,3,7,0,2,1,15,1,0,5,10,19.0
1,3,1,5,2,8,5,2,1,3,6,48.94032,2.138409,3,2,2,0,1,1,2,9,1,50,1,33,1,0,1,1,1,0,6,10,38.0
1,1,1,5,1,0,1,2,9,1,6,48.90719,2.17519,3,2,1,0,1,3,1,9,1,30,2,7,0,1,2,26,1,17,5,10,62.0
1,1,2,5,1,0,1,2,3,1,6,48.994829,1.913585,3,3,4,0,1,1,1,0,1,50,2,7,0,1,1,1,1,15,3,10,77.0
1,1,1,1,1,4,1,2,3,1,6,48.987841,1.968966,4,2,2,0,2,3,1,0,1,50,3,7,0,1,1,15,1,9,3,10,23.0
1,1,1,4,1,0,3,2,3,1,6,48.897737,2.334588,4,3,6,3,1,1,1,-1,6,30,1,40,0,1,1,1,3,0,6,9,39.0
1,1,1,4,1,0,1,2,1,1,6,48.897572,2.327011,4,3,6,0,1,1,1,-1,6,30,1,40,0,1,1,1,3,16,1,1,41.0
1,1,1,4,1,0,1,2,2,1,6,48.90625,2.37539,3,2,3,0,1,1,1,5,1,50,1,7,0,1,4,4,0,8,1,1,33.0
1,1,1,4,8,0,5,2,1,5,6,48.71476,2.50126,3,2,2,0,1,1,1,0,1,50,2,37,0,1,1,26,1,20,2,11,48.0
1,4,1,0,1,8,1,2,9,1,6,48.43515,2.16804,3,1,0,0,2,1,1,3,3,50,1,7,7,0,2,14,3,14,2,11,23.0
1,4,1,0,2,0,2,2,3,5,1,48.430758,2.171671,3,2,2,0,1,1,1,0,1,50,2,2,0,2,1,16,1,8,1,11,45.0
1,1,1,0,1,0,2,2,3,5,1,48.430758,2.171671,3,2,2,0,1,1,1,0,1,50,0,7,0,2,1,1,1,8,1,11,45.0
1,1,2,5,1,8,5,2,3,8,3,48.819358,2.487396,3,2,2,0,1,1,2,0,1,30,2,7,0,2,3,9,1,19,3,12,35.0
1,1,1,5,1,8,5,2,3,8,3,48.819358,2.487396,3,2,2,0,1,1,2,0,1,30,2,7,0,2,1,1,0,19,3,12,37.0
1,3,1,5,2,-1,1,1,6,1,3,48.923944,1.995472,3,1,2,0,1,1,1,0,1,70,1,1,0,2,1,1,5,9,5,12,43.0
1,1,1,5,1,-1,1,1,6,1,3,48.923944,1.995472,3,1,2,0,1,1,1,0,1,70,2,7,0,9,8,9,1,9,5,12,62.0
1,1,2,0,1,0,2,2,1,1,2,48.9174931119,2.3199686408,3,4,3,0,1,1,1,0,1,70,1,7,0,2,4,0,1,16,4,12,21.0
1,1,2,0,1,0,2,2,1,1,2,48.9174931119,2.3199686408,3,4,3,0,1,1,1,0,1,70,1,7,0,2,1,1,1,16,4,12,27.0
1,3,1,0,1,5,3,1,1,2,1,48.78899,3.205803,3,2,2,0,1,1,2,0,1,80,0,7,0,2,1,1,1,6,4,12,58.0
1,4,1,0,1,-1,3,1,1,2,1,48.78899,3.205803,3,2,2,0,1,1,2,0,1,80,0,7,0,2,1,13,1,6,4,12,21.0
2,3,1,0,2,0,1,2,1,1,7,48.9187833189,2.2907620668,3,-1,2,0,1,1,1,0,1,50,1,30,0,2,0,0,1,18,3,12,26.0
1,3,1,5,8,0,2,2,1,1,6,48.77855,2.23453,3,3,2,0,1,1,1,0,4,50,1,7,12,0,3,13,1,8,6,8,26.0
1,4,1,5,1,8,4,2,2,1,6,48.86505,2.234461,4,1,2,0,1,1,1,0,1,50,3,7,7,0,1,13,1,19,4,12,33.0
1,2,1,5,8,0,2,2,3,1,7,48.9582,2.5957,4,2,2,0,1,1,9,0,1,50,2,50,14,0,1,1,3,16,4,12,56.0
1,1,1,9,1,8,1,2,1,1,3,48.91952178,2.3133140802,3,2,0,0,1,1,1,0,1,50,2,7,9,2,2,15,1,16,6,12,61.0
1,4,1,9,2,8,1,2,1,1,3,48.91952178,2.3133140802,3,2,0,0,1,1,1,0,1,50,1,32,9,2,1,1,1,16,6,12,41.0
1,1,1,3,1,-1,5,2,1,1,6,48.607146,2.890515,3,2,2,0,1,1,1,6,1,50,2,7,0,1,2,1,1,17,1,12,21.0
1,4,1,0,1,8,1,2,1,1,2,48.9144930756,2.2974005342,4,2,2,0,1,1,1,0,1,50,1,7,0,2,4,1,1,17,4,12,35.0
1,1,1,0,1,8,1,2,1,1,2,48.9144930756,2.2974005342,4,2,2,0,1,1,1,0,1,50,1,7,0,2,1,2,1,17,4,12,19.0
1,4,1,9,2,8,5,2,1,1,6,48.92401,2.28591,3,2,0,0,1,1,1,0,1,50,1,32,9,2,0,1,1,3,5,12,39.0
1,4,1,9,1,8,5,2,1,1,2,48.9207907407,2.2788155079,3,1,0,0,1,1,1,0,1,50,1,7,9,2,4,1,1,21,3,12,38.0
1,1,1,5,2,8,5,2,1,1,2,48.9207907407,2.2788155079,3,1,0,0,1,1,1,0,1,50,1,32,9,2,1,2,1,21,3,12,21.0
1,1,1,5,2,6,1,1,6,1,7,48.474489,2.67885,3,1,2,0,1,2,1,0,1,90,1,33,0,0,8,15,1,15,2,12,51.0
1,1,1,3,1,-1,1,1,1,1,2,48.664593,2.213681,3,2,2,0,1,1,1,0,1,50,1,7,0,2,1,1,1,15,4,12,44.0
1,4,1,1,2,-1,1,1,1,1,2,48.664593,2.213681,3,2,2,0,1,1,1,0,1,50,1,1,0,0,4,1,5,15,4,12,39.0
1,3,1,1,2,6,2,1,1,1,2,48.69789,2.31449,1,1,3,0,1,1,1,0,1,110,1,33,0,2,1,3,1,16,4,12,43.0
1,1,1,5,1,0,2,1,1,1,2,48.69789,2.31449,1,1,3,0,1,1,1,0,1,110,1,7,0,2,5,1,2,16,4,12,44.0
1,4,1,9,2,6,5,2,3,1,3,48.87587,2.281183,4,2,1,0,1,1,1,8,1,30,1,34,0,2,2,1,1,23,4,12,28.0
1,1,1,9,1,0,5,2,3,1,3,48.87587,2.281183,4,2,1,0,1,1,1,8,1,30,1,7,0,2,3,13,1,23,4,12,21.0
1,1,1,3,1,0,1,2,2,1,6,48.82907,2.53938,3,1,1,0,1,1,1,0,1,50,2,7,0,1,1,15,1,16,4,12,78.0
1,4,1,5,1,0,3,1,9,1,6,48.967722,1.857437,1,1,1,0,2,3,1,0,1,70,2,7,4,0,8,9,1,21,4,12,25.0
1,4,1,0,1,4,5,1,1,1,2,48.9421,2.43127,1,3,6,0,1,1,1,0,1,90,2,7,0,2,6,1,2,18,4,12,27.0
1,4,1,9,2,0,3,1,1,1,3,48.87122,2.48194,1,3,6,0,1,1,1,0,1,90,1,32,0,2,2,2,1,18,4,12,48.0
1,1,2,0,1,0,3,1,1,1,3,48.87122,2.48194,1,3,6,0,1,1,1,0,1,90,1,7,0,2,3,2,1,18,4,12,52.0
1,1,1,0,1,0,3,1,1,1,3,48.96795092,2.479499269,1,3,3,0,1,2,1,0,1,90,2,7,0,2,8,1,1,19,4,12,43.0
1,1,1,4,1,0,3,1,1,1,3,48.96795092,2.479499269,1,3,3,0,1,2,1,0,1,90,2,17,0,2,7,12,1,19,4,12,55.0
1,1,1,3,1,0,1,2,9,1,4,48.89385,2.13595,3,2,2,0,1,1,1,0,1,50,1,7,0,2,4,23,1,11,1,12,58.0
1,4,2,0,1,0,1,2,9,1,4,48.89385,2.13595,3,2,2,0,1,1,1,0,1,50,1,7,0,2,1,23,1,11,1,12,32.0
1,4,2,0,1,8,1,2,9,1,4,48.89385,2.13595,3,2,2,0,1,1,1,0,1,50,1,7,0,2,6,23,1,11,1,12,65.0
1,1,1,4,1,0,1,2,9,1,4,48.89385,2.13595,3,2,2,0,1,1,1,0,1,50,1,7,0,2,2,1,1,11,1,12,38.0
1,1,1,5,1,0,5,2,7,1,6,48.64285,1.82566,3,2,3,0,1,2,2,0,1,30,1,7,0,1,1,1,1,18,0,12,33.0
1,4,2,3,8,0,1,1,1,8,3,48.8963683205,2.4700175612,1,4,0,0,1,1,1,0,1,90,1,7,0,2,2,0,0,16,0,12,26.0
1,1,1,0,1,0,1,2,1,1,6,48.89624,2.51163,4,2,2,0,1,1,1,0,1,30,1,7,0,1,3,26,2,13,2,12,37.0
1,4,1,5,1,-1,5,2,2,1,3,49.0011588338,2.3895692825,3,2,2,0,1,1,1,0,1,50,3,10,8,2,3,1,1,2,4,12,22.0
1,4,1,5,1,-1,5,2,2,1,3,49.0011588338,2.3895692825,3,2,2,0,1,1,1,0,1,50,2,10,0,2,1,1,1,2,4,12,22.0
1,1,1,1,2,6,1,2,4,1,6,48.989403008,2.3272776604,3,2,2,0,2,3,1,0,1,30,2,33,0,1,8,16,1,16,4,12,31.0
